tp,sl,window,dd,lb,n,pos,rate,recent_n,recent_rate,recent_rate_minus_be,barrier_be_precision,base_rate_minus_be,retain_n,retain_rate,convert_n,convert_rate,old1_to_0,tp_exit,hard_exit,trail_exit,timeout_exit,trail_future_tp_n,trail_future_tp_rate,stop_future_tp_n,conflict_n,pos_med_exit_min,pos_med_mae,pos_p25_mae,stop_med_mfe,proxy_mean_ret,proxy_median_ret,recent_proxy_mean_ret
1.6,0.9,120,0.2,10,1177,178,0.15123194562446898,295,0.1016949152542373,-0.04116222760290553,0.14285714285714282,0.008374802767326162,171,0.7880184331797235,7,0.007291666666666667,46,178,805,166,28,67,0.4036144578313253,190,11,1.975,0.07417524748083026,-0.014626578483894148,0.03510550998287498,0.037409406888849424,-0.09999999999999998,0.005318879636329201
1.6,0.9,120,0.2,15,1177,177,0.1503823279524214,295,0.1016949152542373,-0.04116222760290553,0.14285714285714282,0.00752518509527858,170,0.783410138248848,7,0.007291666666666667,47,177,803,170,27,68,0.4,191,11,1.9666666666666666,0.07937897410497419,-0.008807935497373465,0.036320017316227915,0.03725802477087859,-0.09999999999999998,0.00558957852390396
1.6,0.9,120,0.25,5,1177,206,0.1750212404418012,295,0.12542372881355932,-0.017433414043583506,0.14285714285714282,0.03216409758465838,195,0.8986175115207373,11,0.011458333333333333,22,206,844,93,34,35,0.3763440860215054,162,8,2.4416666666666664,0.03911496146371263,-0.025230774730022887,0.02570257310964008,0.040209308460890415,-0.09999999999999998,0.007387845061509132
1.6,0.9,120,0.25,10,1177,205,0.17417162276975362,295,0.12203389830508475,-0.02082324455205807,0.14285714285714282,0.0313144799126108,195,0.8986175115207373,10,0.010416666666666666,22,205,842,97,33,36,0.3711340206185567,163,8,2.4166666666666665,0.04201635624266431,-0.024578208743865848,0.0261566801879467,0.0402894547847095,-0.09999999999999998,0.006326381206789005
1.6,0.9,120,0.25,15,1177,203,0.17247238742565846,295,0.1152542372881356,-0.027602905569007227,0.14285714285714282,0.029615244568515636,194,0.8940092165898618,9,0.009375,23,203,837,105,32,39,0.37142857142857144,165,8,2.35,0.04201635624266431,-0.025230774730022887,0.02664795534978004,0.03993155238091998,-0.09999999999999998,0.0032071558491673165
1.6,0.9,120,0.3,5,1177,219,0.1860662701784197,295,0.1423728813559322,-0.0004842615012106144,0.14285714285714282,0.04320912732127688,208,0.9585253456221198,11,0.011458333333333333,9,219,872,49,37,17,0.3469387755102041,149,7,2.8833333333333333,0.03244360952787595,-0.025230774730022887,0.021053284877517342,0.04044043169822392,-0.09999999999999998,0.010032294639017102
1.6,0.9,120,0.3,10,1177,218,0.18521665250637212,295,0.13898305084745763,-0.0038740920096851927,0.14285714285714282,0.0423595096492293,208,0.9585253456221198,10,0.010416666666666666,9,218,868,55,36,18,0.32727272727272727,150,7,2.8166666666666664,0.03285489890588156,-0.024578208743865848,0.021251090802158368,0.04000811293238795,-0.09999999999999998,0.008767100387405946
1.6,0.9,120,0.3,15,1177,217,0.18436703483432457,295,0.13559322033898305,-0.007263922518159771,0.14285714285714282,0.041509891977181745,207,0.9539170506912442,10,0.010416666666666666,10,217,867,57,36,19,0.3333333333333333,151,7,2.75,0.033266188283887166,-0.024578208743865848,0.02128064768601523,0.03970058735048837,-0.09999999999999998,0.0075401254386066145
1.6,0.8,60,,,1177,264,0.22429906542056074,295,0.17966101694915254,-0.0703389830508474,0.24999999999999994,-0.0257009345794392,217,1.0,47,0.04895833333333333,0,264,766,0,147,0,0.0,70,5,3.4,0.0,-0.07250432591352074,0.036992920863334056,0.006167581523948626,-0.19999999999999996,-0.026369712511120563
1.6,0.8,60,0.2,5,1177,194,0.16482582837723025,295,0.11864406779661017,-0.13135593220338976,0.24999999999999994,-0.08517417162276969,174,0.8018433179723502,20,0.020833333333333332,43,194,559,307,117,91,0.2964169381107492,139,11,2.05,0.046485370780525725,-0.03723598200446365,0.07119473399910103,0.01166486535954772,-0.14650116676076685,-0.014162443033279211
